Package                           Size (KB)        Status
sysvinit-utils                       124        installed
plymouth-theme-ubuntu-logo           125        installed
libxft2                              125        installed
libubuntutoolkit5                    125        installed
ed                                   125        installed
makedev                              125        installed
libapparmor1                         125        installed
fcitx-config-gtk                     125        installed
libprocps4                           126        installed
libitm1                              126        installed
libpolkit-backend-1-0                126        installed
libnetfilter-conntrack3              126        installed
python-ldb                           126        installed
keyutils                             126        installed
ureadahead                           127        installed
bind9-host                           127        installed
sysv-rc                              127        installed
libnss-mdns                          127        installed
libaccounts-qt5-1                    128        installed
libpopt0                             128        installed
libice6                              128        installed
nautilus-share                       128        installed
qml-module-qtquick-layouts           129        installed
gir1.2-unity-5.0                     130        installed
libmpc3                              130        installed
gir1.2-atk-1.0                       131        installed
libqt5quickwidgets5                  131        installed
librest-0.7-0                        131        installed
librtmp1                             131        installed
fonts-lao                            131        installed
gnome-video-effects                  132        installed
pppoeconf                            132        installed
qml-module-qt-labs-folderlistmodel    132        installed
libaccounts-glib0                    133        installed
libbrlapi0.6                         133        installed
libgtop-2.0-10                       133        installed
libfontembed1                        133        installed
libnet-ip-perl                       133        installed
libgeoclue0                          134        installed
libnih1                              134        installed
liblqr-1-0                           134        installed
acpid                                134        installed
gir1.2-javascriptcoregtk-4.0         134        installed
rtkit                                135        installed
libdfu1                              136        installed
libalgorithm-diff-perl               136        installed
policykit-1-gnome                    136        installed
emacsen-common                       136        installed
libpulsedsp                          137        installed
python3-cairo                        137        installed
libaudit1                            138        installed
dbus-x11                             138        installed
libroken18-heimdal                   138        installed
libboost-filesystem1.58.0            138        installed
libxklavier16                        138        installed
libcilkrts5                          139        installed
libtimedate-perl                     139        installed
dmraid                               139        installed
libnm-glib-vpn1                      139        installed
python3-xkit                         139        installed
libfile-mimeinfo-perl                139        installed
libxcb-glx0                          140        installed
libgrail6                            140        installed
libpolkit-gobject-1-0                141        installed
fonts-kacst-one                      141        installed
indicator-printers                   141        installed
libsignon-glib1                      142        installed
pptp-linux                           142        installed
libboost-iostreams1.58.0             142        installed
libdbusmenu-glib4                    144        installed
avahi-utils                          144        installed
libcrack2                            144        installed
pulseaudio-module-x11                144        installed
gir1.2-packagekitglib-1.0            144        installed
dconf-service                        144        installed
liblightdm-gobject-1-0               145        installed
python-minimal                       145        installed
sni-qt                               145        installed
libgnomekbd8                         145        installed
libcupsmime1                         145        installed
imagemagick                          146        installed
libsasl2-2                           147        installed
hyphen-en-us                         147        installed
unity-schemas                        148        installed
isc-dhcp-common                      148        installed
python3-systemd                      149        installed
ftp                                  149        installed
gir1.2-json-1.0                      149        installed
libxcb-xkb1                          149        installed
libcupsimage2                        150        installed
libparted-fs-resize0                 150        installed
libkrb5support0                      150        installed
libproxy1v5                          151        installed
libhtml-format-perl                  151        installed
python3-speechd                      151        installed
libaa1                               151        installed
libao4                               152        installed
libjson-glib-1.0-common              152        installed
usb-creator-gtk                      152        installed
xserver-xorg-video-amdgpu            152        installed
libauthen-sasl-perl                  153        installed
libxml-xpathengine-perl              153        installed
libart-2.0-2                         153        installed
libdv4                               154        installed
libcdparanoia0                       154        installed
uuid-runtime                         154        installed
libunity-action-qt1                  154        installed
libvncclient1                        155        installed
liblangtag1                          155        installed
liblouis9                            156        installed
libgexiv2-2                          156        installed
libgomp1                             156        installed
update-manager-core                  156        installed
libgpg-error0                        156        installed
libaudio2                            156        installed
zeitgeist-datahub                    157        installed
parted                               157        installed
libefivar0                           157        installed
dc                                   157        installed
zlib1g                               157        installed
libframe6                            158        installed
libbsd0                              159        installed
libqt5sql5-sqlite                    159        installed
libcdio-paranoia1                    159        installed
libcdio-cdda1                        159        installed
libgail-3-0                          159        installed
iputils-ping                         160        installed
eject                                160        installed
adium-theme-ubuntu                   160        installed
libclutter-1.0-common                160        installed
usb-modeswitch                       161        installed
at-spi2-core                         161        installed
indicator-application                161        installed
